Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
0.5 0 0 0 0 0 863.667 1008.67
0.50001 0 0 0 0 0 1053.33 952.667
0.50002 0 0 0 0 0 1100 726
0.50003 0 0 0 0 0 1549.33 262.667
1.5 0 0 0 0 0 863.83 1008.6
1.5 0 0 0 0 0 1053.3 952.67
1.5 0 0 0 0 0 1100 726
1.5 0 0 0 0 0 1549.3 262.67
2.5 0 0 0 0 0 864.08 1008.6
2.5 0 0 0 0 0 1053.3 952.67
2.5 0 0 0 0 0 1100 726
2.5 0 0 0 0 0 1549.3 262.67
3.5 0 0 0 0 0 864.25 1008.6
3.5 0 0 0 0 0 1053.3 952.67
3.5 0 0 0 0 0 1100 726
3.5 0 0 0 0 0 1549.3 262.67
4.5 0 0 0 0 0 864.5 1008.7
4.5 0 0 0 0 0 1053.3 952.67
4.5 0 0 0 0 0 1100 726
4.5 0 0 0 0 0 1549.3 262.67
At time 5 created bundle with sequence number 98 from 10.0.0.3 to 10.0.0.4
5.5 0 0 0 0 0 864.75 1008.7
5.5 0 0 0 0 0 1053.3 952.67
5.5 0 0 1 96 0 1100 726
5.5 0 0 0 0 0 1549.3 262.67
6.5 0 0 0 0 0 864.75 1008.5
6.5 0 0 0 0 0 1053.3 952.67
6.5 0 0 1 96 0 1100 726
6.5 0 0 0 0 0 1549.3 262.67
7.5 0 0 0 0 0 864.67 1008.2
7.5 0 0 0 0 0 1053.3 952.67
7.5 0 0 1 96 0 1100 726
7.5 0 0 0 0 0 1549.3 262.67
8.5 0 0 0 0 0 864.17 1007
8.5 0 0 0 0 0 1053.3 952.67
8.5 0 0 1 96 0 1100 726
8.5 0 0 0 0 0 1549.3 262.67
9.5 0 0 0 0 0 863.75 1006.1
9.5 0 0 0 0 0 1053.3 952.67
9.5 0 0 1 96 0 1100 726
9.5 0 0 0 0 0 1549.3 262.67
At time 10 created bundle with sequence number 199 from 10.0.0.2 to 10.0.0.4
At time 10 created bundle with sequence number 200 from 10.0.0.3 to 10.0.0.4
10.5 0 0 0 0 0 863.75 1005.9
10.5 0 0 1 101 0 1053.3 952.67
10.5 0 0 2 192 0 1100 726
10.5 0 0 0 0 0 1549.3 262.67
11.5 0 0 0 0 0 863.83 1005.5
11.5 0 0 1 101 0 1053.3 952.67
11.5 0 0 2 192 0 1100 726
11.5 0 0 0 0 0 1549.3 262.67
12.5 0 0 0 0 0 863.92 1005.3
12.5 0 0 1 101 0 1053.3 952.67
12.5 0 0 2 192 0 1100 726
12.5 0 0 0 0 0 1549.3 262.67
13.5 0 0 0 0 0 863.75 1005.4
13.5 0 0 1 101 0 1053.3 952.67
13.5 0 0 2 192 0 1100 726
13.5 0 0 0 0 0 1549.3 262.67
14.5 0 0 0 0 0 863.92 1005.4
14.5 0 0 1 101 0 1053.3 952.67
14.5 0 0 2 192 0 1100 726
14.5 0 0 0 0 0 1549.3 262.67
At time 15 created bundle with sequence number 301 from 10.0.0.3 to 10.0.0.4
15.5 0 0 0 0 0 864.5 1004.9
15.5 0 0 1 101 0 1053.3 952.67
15.5 0 0 3 288 0 1100 726
15.5 0 0 0 0 0 1549.3 262.67
16.5 0 0 0 0 0 865.17 1004.1
16.5 0 0 1 101 0 1053.3 952.67
16.5 0 0 3 288 0 1100 726
16.5 0 0 0 0 0 1549.3 262.67
17.5 0 0 0 0 0 865.83 1003.1
17.5 0 0 1 101 0 1053.3 952.67
17.5 0 0 3 288 0 1100 726
17.5 0 0 0 0 0 1549.3 262.67
18.5 0 0 0 0 0 866.33 1002.2
18.5 0 0 1 101 0 1053.3 952.67
18.5 0 0 3 288 0 1100 726
18.5 0 0 0 0 0 1549.3 262.67
19.5 0 0 0 0 0 866.67 1001.7
19.5 0 0 1 101 0 1053.3 952.67
19.5 0 0 3 288 0 1100 726
19.5 0 0 0 0 0 1549.3 262.67
At time 20 created bundle with sequence number 402 from 10.0.0.2 to 10.0.0.4
At time 20 created bundle with sequence number 403 from 10.0.0.3 to 10.0.0.4
20.5 0 0 0 0 0 866.92 1001.3
20.5 0 0 2 202 0 1053.3 952.67
20.5 0 0 4 384 0 1100 726
20.5 0 0 0 0 0 1549.3 262.67
21.5 0 0 0 0 0 867.08 1001.2
21.5 0 0 2 202 0 1053.3 952.67
21.5 0 0 4 384 0 1100 726
21.5 0 0 0 0 0 1549.3 262.67
22.5 0 0 0 0 0 867.25 1001.4
22.5 0 0 2 202 0 1053.3 952.67
22.5 0 0 4 384 0 1100 726
22.5 0 0 0 0 0 1549.3 262.67
23.5 0 0 0 0 0 867.25 1002.1
23.5 0 0 2 202 0 1053.3 952.67
23.5 0 0 4 384 0 1100 726
23.5 0 0 0 0 0 1549.3 262.67
24.5 0 0 0 0 0 867 1002.9
24.5 0 0 2 202 0 1053.3 952.67
24.5 0 0 4 384 0 1100 726
24.5 0 0 0 0 0 1549.3 262.67
At time 25 created bundle with sequence number 504 from 10.0.0.3 to 10.0.0.4
25.5 0 0 0 0 0 867 1003.5
25.5 0 0 2 202 0 1053.3 952.67
25.5 0 0 5 480 0 1100 726
25.5 0 0 0 0 0 1549.3 262.67
26.5 0 0 0 0 0 867.17 1004.1
26.5 0 0 2 202 0 1053.3 952.67
26.5 0 0 5 480 0 1100 726
26.5 0 0 0 0 0 1549.3 262.67
27.5 0 0 0 0 0 867.25 1004.8
27.5 0 0 2 202 0 1053.3 952.67
27.5 0 0 5 480 0 1100 726
27.5 0 0 0 0 0 1549.3 262.67
28.5 0 0 0 0 0 867.42 1005.1
28.5 0 0 2 202 0 1053.3 952.67
28.5 0 0 5 480 0 1100 726
28.5 0 0 0 0 0 1549.3 262.67
29.5 0 0 0 0 0 867.58 1005.3
29.5 0 0 2 202 0 1053.3 952.67
29.5 0 0 5 480 0 1100 726
29.5 0 0 0 0 0 1549.3 262.67
At time 30 created bundle with sequence number 605 from 10.0.0.2 to 10.0.0.4
At time 30 created bundle with sequence number 606 from 10.0.0.3 to 10.0.0.4
30.5 0 0 0 0 0 867.58 1005.7
30.5 0 0 3 303 0 1053.3 952.67
30.5 0 0 6 576 0 1100 726
30.5 0 0 0 0 0 1549.3 262.67
31.5 0 0 0 0 0 867.54 1005.8
31.5 0 0 3 303 0 1053.3 952.67
31.5 0 0 6 576 0 1100 726
31.5 0 0 0 0 0 1549.3 262.67
32.5 0 0 0 0 0 867.58 1005.8
32.5 0 0 3 303 0 1053.3 952.67
32.5 0 0 6 576 0 1100 726
32.5 0 0 0 0 0 1549.3 262.67
33.5 0 0 0 0 0 867.75 1005.8
33.5 0 0 3 303 0 1053.3 952.67
33.5 0 0 6 576 0 1100 726
33.5 0 0 0 0 0 1549.3 262.67
34.5 0 0 0 0 0 868.25 1005.8
34.5 0 0 3 303 0 1053.3 952.67
34.5 0 0 6 576 0 1100 726
34.5 0 0 0 0 0 1549.3 262.67
At time 35 created bundle with sequence number 707 from 10.0.0.3 to 10.0.0.4
35.5 0 0 0 0 0 868.75 1005.7
35.5 0 0 3 303 0 1053.3 952.67
35.5 0 0 7 672 0 1100 726
35.5 0 0 0 0 0 1549.3 262.67
36.5 0 0 0 0 0 868.96 1006.1
36.5 0 0 3 303 0 1053.3 952.67
36.5 0 0 7 672 0 1100 726
36.5 0 0 0 0 0 1549.3 262.67
37.5 0 0 0 0 0 869.25 1007.1
37.5 0 0 3 303 0 1053.3 952.67
37.5 0 0 7 672 0 1100 726
