Creating 3 nodes.
MOBILE: 
node 0 getnode 0x1f1de40 dst-> 0x1ff2cd0 10.0.0.1 source-> 0x1ff30f0
SENSOR: 
seconds interval2
node 1 getnode 0x1f1e3b0 dst-> 0x1ff4910 10.0.0.2 source-> 0x1ff4a70
BASE: 
node 2 getnode 0x1f1e140 dst-> 0x1ff5d00 10.0.0.3 source-> 0x1ff6330
Starting simulation for 2734 s, seed value 12345673
0.5 0 0 0 0 0 863.667 1008.67
0.50001 0 0 0 0 0 1053.33 952.667
0.50002 0 0 0 0 0 1549.33 262.667
1.5 0 0 0 0 0 863.83 1008.6
1.5 0 0 0 0 0 1053.3 952.67
1.5 0 0 0 0 0 1549.3 262.67
2.5 0 0 0 0 0 864.08 1008.6
2.5 0 0 0 0 0 1053.3 952.67
2.5 0 0 0 0 0 1549.3 262.67
3.5 0 0 0 0 0 864.25 1008.6
3.5 0 0 0 0 0 1053.3 952.67
3.5 0 0 0 0 0 1549.3 262.67
4.5 0 0 0 0 0 864.5 1008.7
4.5 0 0 0 0 0 1053.3 952.67
4.5 0 0 0 0 0 1549.3 262.67
5.5 0 0 0 0 0 864.75 1008.7
5.5 0 0 0 0 0 1053.3 952.67
5.5 0 0 0 0 0 1549.3 262.67
6.5 0 0 0 0 0 864.75 1008.5
6.5 0 0 0 0 0 1053.3 952.67
6.5 0 0 0 0 0 1549.3 262.67
7.5 0 0 0 0 0 864.67 1008.2
7.5 0 0 0 0 0 1053.3 952.67
7.5 0 0 0 0 0 1549.3 262.67
8.5 0 0 0 0 0 864.17 1007
8.5 0 0 0 0 0 1053.3 952.67
8.5 0 0 0 0 0 1549.3 262.67
9.5 0 0 0 0 0 863.75 1006.1
9.5 0 0 0 0 0 1053.3 952.67
9.5 0 0 0 0 0 1549.3 262.67
At time 10 created bundle with sequence number 198 from 10.0.0.2 to 10.0.0.3
10.5 0 0 0 0 0 863.75 1005.9
10.5 0 0 1 78 0 1053.3 952.67
10.5 0 0 0 0 0 1549.3 262.67
11.5 0 0 0 0 0 863.83 1005.5
11.5 0 0 1 78 0 1053.3 952.67
11.5 0 0 0 0 0 1549.3 262.67
12.5 0 0 0 0 0 863.92 1005.3
12.5 0 0 1 78 0 1053.3 952.67
12.5 0 0 0 0 0 1549.3 262.67
13.5 0 0 0 0 0 863.75 1005.4
13.5 0 0 1 78 0 1053.3 952.67
13.5 0 0 0 0 0 1549.3 262.67
14.5 0 0 0 0 0 863.92 1005.4
14.5 0 0 1 78 0 1053.3 952.67
14.5 0 0 0 0 0 1549.3 262.67
15.5 0 0 0 0 0 864.5 1004.9
15.5 0 0 1 78 0 1053.3 952.67
15.5 0 0 0 0 0 1549.3 262.67
16.5 0 0 0 0 0 865.17 1004.1
16.5 0 0 1 78 0 1053.3 952.67
16.5 0 0 0 0 0 1549.3 262.67
17.5 0 0 0 0 0 865.83 1003.1
17.5 0 0 1 78 0 1053.3 952.67
17.5 0 0 0 0 0 1549.3 262.67
18.5 0 0 0 0 0 866.33 1002.2
18.5 0 0 1 78 0 1053.3 952.67
18.5 0 0 0 0 0 1549.3 262.67
19.5 0 0 0 0 0 866.67 1001.7
19.5 0 0 1 78 0 1053.3 952.67
19.5 0 0 0 0 0 1549.3 262.67
At time 20 created bundle with sequence number 399 from 10.0.0.2 to 10.0.0.3
20.5 0 0 0 0 0 866.92 1001.3
20.5 0 0 2 156 0 1053.3 952.67
20.5 0 0 0 0 0 1549.3 262.67
21.5 0 0 0 0 0 867.08 1001.2
21.5 0 0 2 156 0 1053.3 952.67
21.5 0 0 0 0 0 1549.3 262.67
22.5 0 0 0 0 0 867.25 1001.4
22.5 0 0 2 156 0 1053.3 952.67
22.5 0 0 0 0 0 1549.3 262.67
23.5 0 0 0 0 0 867.25 1002.1
23.5 0 0 2 156 0 1053.3 952.67
23.5 0 0 0 0 0 1549.3 262.67
24.5 0 0 0 0 0 867 1002.9
24.5 0 0 2 156 0 1053.3 952.67
24.5 0 0 0 0 0 1549.3 262.67
25.5 0 0 0 0 0 867 1003.5
25.5 0 0 2 156 0 1053.3 952.67
25.5 0 0 0 0 0 1549.3 262.67
26.5 0 0 0 0 0 867.17 1004.1
26.5 0 0 2 156 0 1053.3 952.67
26.5 0 0 0 0 0 1549.3 262.67
27.5 0 0 0 0 0 867.25 1004.8
27.5 0 0 2 156 0 1053.3 952.67
27.5 0 0 0 0 0 1549.3 262.67
28.5 0 0 0 0 0 867.42 1005.1
28.5 0 0 2 156 0 1053.3 952.67
28.5 0 0 0 0 0 1549.3 262.67
29.5 0 0 0 0 0 867.58 1005.3
29.5 0 0 2 156 0 1053.3 952.67
29.5 0 0 0 0 0 1549.3 262.67
At time 30 created bundle with sequence number 600 from 10.0.0.2 to 10.0.0.3
30.5 0 0 0 0 0 867.58 1005.7
30.5 0 0 3 234 0 1053.3 952.67
30.5 0 0 0 0 0 1549.3 262.67
31.5 0 0 0 0 0 867.54 1005.8
31.5 0 0 3 234 0 1053.3 952.67
31.5 0 0 0 0 0 1549.3 262.67
32.5 0 0 0 0 0 867.58 1005.8
32.5 0 0 3 234 0 1053.3 952.67
32.5 0 0 0 0 0 1549.3 262.67
33.5 0 0 0 0 0 867.75 1005.8
33.5 0 0 3 234 0 1053.3 952.67
33.5 0 0 0 0 0 1549.3 262.67
34.5 0 0 0 0 0 868.25 1005.8
34.5 0 0 3 234 0 1053.3 952.67
34.5 0 0 0 0 0 1549.3 262.67
35.5 0 0 0 0 0 868.75 1005.7
35.5 0 0 3 234 0 1053.3 952.67
35.5 0 0 0 0 0 1549.3 262.67
36.5 0 0 0 0 0 868.96 1006.1
36.5 0 0 3 234 0 1053.3 952.67
36.5 0 0 0 0 0 1549.3 262.67
37.5 0 0 0 0 0 869.25 1007.1
37.5 0 0 3 234 0 1053.3 952.67
37.5 0 0 0 0 0 1549.3 262.67
38.5 0 0 0 0 0 869.67 1007.8
38.5 0 0 3 234 0 1053.3 952.67
38.5 0 0 0 0 0 1549.3 262.67
39.5 0 0 0 0 0 870.25 1008.4
39.5 0 0 3 234 0 1053.3 952.67
39.5 0 0 0 0 0 1549.3 262.67
At time 40 created bundle with sequence number 801 from 10.0.0.2 to 10.0.0.3
40.5 0 0 0 0 0 870.66 1008.9
40.5 0 0 4 312 0 1053.3 952.67
40.5 0 0 0 0 0 1549.3 262.67
41.5 0 0 0 0 0 870.66 1008.9
41.5 0 0 4 312 0 1053.3 952.67
41.5 0 0 0 0 0 1549.3 262.67
42.5 0 0 0 0 0 870.66 1008.9
42.5 0 0 4 312 0 1053.3 952.67
42.5 0 0 0 0 0 1549.3 262.67
43.5 0 0 0 0 0 870.66 1008.9
43.5 0 0 4 312 0 1053.3 952.67
43.5 0 0 0 0 0 1549.3 262.67
44.5 0 0 0 0 0 870.65 1008.9
44.5 0 0 4 312 0 1053.3 952.67
44.5 0 0 0 0 0 1549.3 262.67
45.5 0 0 0 0 0 870.65 1009
45.5 0 0 4 312 0 1053.3 952.67
45.5 0 0 0 0 0 1549.3 262.67
46.5 0 0 0 0 0 870.65 1009
46.5 0 0 4 312 0 1053.3 952.67
46.5 0 0 0 0 0 1549.3 262.67
47.5 0 0 0 0 0 870.65 1009
47.5 0 0 4 312 0 1053.3 952.67
47.5 0 0 0 0 0 1549.3 262.67
48.5 0 0 0 0 0 870.65 1009
48.5 0 0 4 312 0 1053.3 952.67
48.5 0 0 0 0 0 1549.3 262.67
49.5 0 0 0 0 0 870.64 1009
49.5 0 0 4 312 0 1053.3 952.67
49.5 0 0 0 0 0 1549.3 262.67
At time 50 created bundle with sequence number 1002 from 10.0.0.2 to 10.0.0.3
50.5 0 0 0 0 0 870.64 1009.1
50.5 0 0 5 390 0 1053.3 952.67
50.5 0 0 0 0 0 1549.3 262.67
51.5 0 0 0 0 0 870.64 1009.1
51.5 0 0 5 390 0 1053.3 952.67
51.5 0 0 0 0 0 1549.3 262.67
52.5 0 0 0 0 0 870.64 1009.1
52.5 0 0 5 390 0 1053.3 952.67
52.5 0 0 0 0 0 1549.3 262.67
53.5 0 0 0 0 0 870.64 1009.1
