+0.0ns; NODE: 0; POS: x=1289.79, y=808.16, z=0; VEL: x=17.1473, y=34.0165, z=0
+1249999999.0ns; NODE: 0; POS: x=1311.22, y=850.681, z=0; VEL: x=0, y=0, z=0
+2500000000.0ns; NODE: 0; POS: x=1311.22, y=850.681, z=0; VEL: x=-81.2991, y=-42.7849, z=0
+2749999994.0ns; NODE: 0; POS: x=1290.9, y=839.984, z=0; VEL: x=0, y=0, z=0
+3000000000.0ns; NODE: 0; POS: x=1290.9, y=839.984, z=0; VEL: x=9.01111, y=0.850069, z=0
+3250000081.0ns; NODE: 0; POS: x=1293.15, y=840.197, z=0; VEL: x=0, y=0, z=0
+3500000000.0ns; NODE: 0; POS: x=1293.15, y=840.197, z=0; VEL: x=11.7684, y=-0.112031, z=0
+3750000066.0ns; NODE: 0; POS: x=1296.09, y=840.169, z=0; VEL: x=0, y=0, z=0
+4000000000.0ns; NODE: 0; POS: x=1296.09, y=840.169, z=0; VEL: x=15.3684, y=-1.71862, z=0
+4250000051.0ns; NODE: 0; POS: x=1299.94, y=839.739, z=0; VEL: x=0, y=0, z=0
+4500000000.0ns; NODE: 0; POS: x=1299.94, y=839.739, z=0; VEL: x=16.9437, y=-0.697916, z=0
+4750000048.0ns; NODE: 0; POS: x=1304.17, y=839.565, z=0; VEL: x=0, y=0, z=0
+5000000000.0ns; NODE: 0; POS: x=1304.17, y=839.565, z=0; VEL: x=17.1337, y=-1.08707, z=0
+5249999944.0ns; NODE: 0; POS: x=1308.46, y=839.293, z=0; VEL: x=0, y=0, z=0
+5500000000.0ns; NODE: 0; POS: x=1308.46, y=839.293, z=0; VEL: x=17.7941, y=-1.18088, z=0
+5749999967.0ns; NODE: 0; POS: x=1312.9, y=838.998, z=0; VEL: x=0, y=0, z=0
+6000000000.0ns; NODE: 0; POS: x=1312.9, y=838.998, z=0; VEL: x=18.2605, y=-2.08593, z=0
+6250000053.0ns; NODE: 0; POS: x=1317.47, y=838.476, z=0; VEL: x=0, y=0, z=0
+6500000000.0ns; NODE: 0; POS: x=1317.47, y=838.476, z=0; VEL: x=17.1876, y=-2.21182, z=0
+6750000005.0ns; NODE: 0; POS: x=1321.77, y=837.923, z=0; VEL: x=0, y=0, z=0
+7000000000.0ns; NODE: 0; POS: x=1321.77, y=837.923, z=0; VEL: x=16.2511, y=-2.64559, z=0
+7250000066.0ns; NODE: 0; POS: x=1325.83, y=837.262, z=0; VEL: x=0, y=0, z=0
+7500000000.0ns; NODE: 0; POS: x=1325.83, y=837.262, z=0; VEL: x=16.2404, y=-2.07883, z=0
+7749999948.0ns; NODE: 0; POS: x=1329.89, y=836.742, z=0; VEL: x=0, y=0, z=0
+8000000000.0ns; NODE: 0; POS: x=1329.89, y=836.742, z=0; VEL: x=16.8672, y=-1.13922, z=0
+8249999999.0ns; NODE: 0; POS: x=1334.11, y=836.457, z=0; VEL: x=0, y=0, z=0
+8500000000.0ns; NODE: 0; POS: x=1334.11, y=836.457, z=0; VEL: x=17.4874, y=-1.05868, z=0
+8749999963.0ns; NODE: 0; POS: x=1338.48, y=836.193, z=0; VEL: x=0, y=0, z=0
+9000000000.0ns; NODE: 0; POS: x=1338.48, y=836.193, z=0; VEL: x=18.4248, y=-0.483125, z=0
+9250000034.0ns; NODE: 0; POS: x=1343.08, y=836.072, z=0; VEL: x=0, y=0, z=0
